Sample_ID,G,ID,Spp,Type,DBH,PointX,PointY,AG,BG,CBH,NAG,BX,AP,PO,PX,pH,dw,ppmC,ppmN,CppmC,CppmN,MBC,MBN,NH4,NO3,InorgN,pct_POM,MAOM_d13C,pct_MAOM_C,MAOM_d15N,pct_MAOM_N,MAOM_CN,POM_d13C,pct_POM_C,POM_d15N,pct_POM_N,POM_CN,bulk_d13C,bulk_pctC,bulk_d15N,bulk_pctN,bulk_CN,leaf_d15N,leaf_pctN,leaf_d13C,leaf_pctC,leaf_CN,Al-conc,Ca-conc,Fe-conc,K-conc,Mg-conc,Mn-conc,Na-conc,CEC,Pct_base_sat
ECM001,T,T11,TILAME,Bulk,48.6,149.1,400.5,55.57845725,522.4927561,228.3575563,294.6033436,128.1666138,726.0870527,0.356350125,0.254673586,6.56,0.542457542,13.47032385,9.102402707,340.5001591,55.51247459,327.0298353,6.098661681,2.780254018,11.59383633,14.37409035,0.095311415,-25.90732147,1.008509835,6.512580688,1.09129365,12.02645966,-27.97112446,0.179434371,3.195804701,0.115040092,20.29696654,-26.28907442,8.335156008,5.786269798,0.64049167,13.01367791,2.01753221,2.056367756,-30.77610346,47.04068264,22.87337874,31.11000568,3112.279701,3.90526981,170.6848362,456.0475253,79.16256437,18.38363147,20.45540687,96.79756489
ECM002,C,C24,CARLAC,Bulk,35.3,250.6,386.7,25.92449344,437.7669411,128.2809192,200.50651,102.1001447,520.9715812,0.504817326,0.537921102,6.58,0.629,29.33314698,8.323123617,358.2760642,43.85360268,328.9429172,5.268887583,2.184623375,6.862045305,9.04666868,0.10122482,-26.06499628,0.898698025,6.3594558,0.954544035,11.76917064,-28.5133046,0.148829479,3.209714443,0.09674302,19.23652705,-26.71696802,8.055044038,5.871037692,0.644376988,12.50068818,1.441165389,0.995211869,-29.57064463,47.60829555,47.83737885,11.81419165,7402.777107,1.322020336,125.9461331,788.8445566,27.63867296,25.10625515,44.10347237,99.45791522
ECM003,T,T12,TILAME,Bulk,46.5,136.1,415.6,44.53350972,522.3043607,155.5717417,230.6249908,94.8204407,438.5659999,0.41815376,0.334854462,6.61,0.595284872,20.34042938,8.944512205,288.7853376,40.76351628,268.4449082,4.557377233,1.310852139,6.762531428,8.073383567,0.110600004,-25.25473554,1.080085285,6.612186718,1.097547327,12.28496653,-28.36045383,0.101441351,3.913126579,0.064863076,19.52107677,-25.74818848,6.621488026,6.039532563,0.530415655,12.48360385,2.026382184,1.98916407,-30.36796419,43.50691096,21.8729602,13.30875508,6977.530989,-3.75540635,150.4210592,979.3069219,3.922071631,31.63793067,43.56283474,99.62753937
ECM005,C,C29,CARLAC,Bulk,30.6,240.92,394.42,24.85502872,338.9908393,134.9618048,192.7573463,115.0051761,506.2405163,0.622207467,0.637286412,6.47,0.582834331,36.49202747,16.68682926,386.2097287,48.14349043,349.7177012,2.885119137,2.129444401,9.552965616,11.68241002,0.060657949,-26.06085507,1.054248568,6.326308878,1.113582353,12.07676012,-28.5132841,0.128332205,4.190281588,0.081839753,20.00397957,-26.27827997,8.157863626,6.029786975,0.63949415,12.75674486,0.965348,0.980744302,-31.46956983,46.05661132,46.9612835,8.954636445,7660.767227,3.301070301,171.3845819,1268.718013,4.371922467,-0.268119423,49.2408205,99.72946579
ECM006,T,T10,TILAME,Bulk,49.2,146.11,357.51,50.26552894,561.1121712,211.4610708,240.7704263,124.0752033,842.5944721,0.380882919,0.309408905,6.55,0.585414585,26.59429278,10.53294805,371.2831061,51.57615665,344.6888133,4.896649675,2.158480564,4.304076609,6.462557173,0.153929613,-24.99648227,0.952450135,6.054917465,0.995192341,12.22485422,-26.97499397,0.157863259,3.454244523,0.102897576,19.59741779,-25.35384051,6.871724009,5.439074519,0.537961998,12.77362935,1.898624481,1.715979627,-30.31157905,41.31029019,24.07458738,-5.501045683,8068.229771,-0.688698344,135.9316507,1500.382055,10.37727676,12.22691892,53.04754853,99.92878438
ECM007,Q,Q15,QUEMAC,Bulk,56.7,205.8,392.6,28.56149373,469.6139037,119.1953001,156.0384453,107.6254359,461.5182937,0.650711588,0.554603415,6.53,0.651,30.08828748,12.52772154,337.4850742,46.09440133,307.3967867,3.679392233,1.397360865,5.859081712,7.256442577,0.102787248,-25.87360293,1.003306263,6.59022604,1.066757547,12.40130588,-28.81794356,0.144079877,3.462588218,0.08977319,21.16772625,-26.54976249,7.1508976,6.169895685,0.542322019,13.18608797,0.869393873,1.133803191,-28.25646392,50.85498028,44.86606688,9.02739474,9271.288978,1.830389502,141.0059438,1426.154629,10.95070805,-13.78778412,58.5124255,99.74352185
ECM008,C,C16,CARLAC,Bulk,37.4,231.54,330.84,26.69941486,349.8425115,127.0382246,134.0168318,98.03695253,463.7770449,0.239320217,0.197010037,6.21,0.705529381,9.941451345,3.866815361,350.7912118,41.43592956,340.8497605,10.7157766,2.255953298,3.365921087,5.621874385,0.04950616,-24.99922851,0.938966289,6.863200613,0.959900505,12.54033037,-27.38733227,0.076902968,4.066530283,0.054739155,18.01151137,-25.5368435,6.87573567,6.185563646,0.536331987,12.81991387,2.479371382,1.466445147,-30.11277748,45.82572112,31.24982115,8.514798649,10668.66219,-0.469258263,126.0748008,1608.028305,-0.563704172,12.60704074,66.94353931,99.85857693
ECM009,T,T03,TILAME,Bulk,82.7,135.66,356.74,44.41641286,455.8978482,112.1342699,178.7494941,96.7079067,672.5379608,0.029831262,0.049160378,6.38,0.68972332,18.58505287,5.788556624,247.098664,29.360683,228.5136111,5.072194142,1.401108791,2.214013652,3.615122443,0.055625692,-24.63534549,0.99919822,6.525864973,0.525280874,11.01475666,-26.77362754,0.129862754,3.548123822,0.040045062,18.78259703,-25.01170095,9.337639211,5.95317538,0.808217339,11.5533765,1.90560183,1.759362205,-27.5308635,45.96205378,26.13157636,22.6284372,9533.796822,3.266833706,296.1512269,1592.190451,3.05738125,20.17271119,61.80344112,99.54649956
ECM011,T,T22,TILAME,Bulk,36,129.7,364.5,24.24230857,427.3920082,110.6166197,171.9948032,87.06281322,640.7383786,0.423265854,0.385016638,6.47,0.679320679,33.58032887,11.32922405,304.5216703,38.1696454,270.9413414,3.369131481,1.341483939,3.69159818,5.033082119,0.092685185,-24.9052207,0.972406398,7.026124237,1.005592636,11.71483554,-27.997371,0.179545953,3.693409557,0.110533892,19.67848195,-25.61526975,5.930010923,6.358998132,0.48949974,12.11468268,2.07844762,2.13327533,-30.21659209,43.48749952,20.38516548,22.24618626,9383.105242,3.44950287,126.2423706,1815.034454,2.412077216,-12.85691971,62.3572464,99.55953663
ECM012,Q,Q25,QUEMAC,Bulk,34,192.18,384.38,32.25066726,406.4137533,170.4350614,217.6479268,95.84201685,684.6010311,0.664023681,0.53622004,6.82,0.528599606,52.96441651,22.59539935,248.6100066,39.81455786,195.6455901,1.762064801,1.889346768,9.928999976,11.81834674,0.092224813,-25.49438132,1.000181979,6.525339141,1.003329329,12.62321111,-28.29528108,0.144111245,3.550994719,0.09054276,20.15422559,-25.92837457,8.844996844,5.948324962,0.698496816,12.66307194,0.699216454,0.978102267,-29.50923669,49.84220951,50.95946525,6.010607047,6912.185359,-2.17944938,121.3613654,1132.775265,2.281529116,8.14640298,44.23597096,99.83014717
