Sample_ID,pH,dw,ppmC,ppmN,MBC,MBN,NH4,NO3,pct_POM,pct_MAOM_C,pct_MAOM_N,MAOM_CN,pct_POM_C,pct_POM_N,POM_CN,bulk_pctC,bulk_pctN,bulk_CN,Al-conc,Ca-conc,Fe-conc,K-conc,Mg-conc,Mn-conc,Na-conc,CEC,Pct_base_sat
ECM001,6.56,0.542457542,13.47032385,9.102402707,327.0298353,6.098661681,2.780254018,11.59383633,0.095311415,1.008509835,1.09129365,12.02645966,0.179434371,0.115040092,20.29696654,8.335156008,0.64049167,13.01367791,31.11000568,3112.279701,3.90526981,170.6848362,456.0475253,22.30862598,18.38363147,20.45540687,96.79756489
ECM002,6.58,0.629,29.33314698,8.323123617,328.9429172,5.268887583,2.184623375,6.862045305,0.10122482,0.898698025,0.954544035,11.76917064,0.148829479,0.09674302,19.23652705,8.055044038,0.644376988,12.50068818,11.81419165,7402.777107,1.322020336,125.9461331,788.8445566,27.63867296,25.10625515,44.10347237,99.45791522
ECM003,6.61,0.595284872,20.34042938,8.944512205,268.4449082,4.557377233,1.310852139,6.762531428,0.110600004,1.080085285,1.097547327,12.28496653,0.101441351,0.064863076,19.52107677,6.621488026,0.530415655,12.48360385,13.30875508,6977.530989,-3.75540635,150.4210592,979.3069219,3.922071631,31.63793067,43.56283474,99.62753937
ECM005,6.47,0.582834331,36.49202747,16.68682926,349.7177012,2.885119137,2.129444401,9.552965616,0.060657949,1.054248568,1.113582353,12.07676012,0.128332205,0.081839753,20.00397957,8.157863626,0.63949415,12.75674486,8.954636445,7660.767227,3.301070301,171.3845819,1268.718013,4.371922467,-0.268119423,49.2408205,99.72946579
ECM006,6.55,0.585414585,26.59429278,10.53294805,344.6888133,4.896649675,2.158480564,4.304076609,0.153929613,0.952450135,0.995192341,12.22485422,0.157863259,0.102897576,19.59741779,6.871724009,0.537961998,12.77362935,-5.501045683,8068.229771,-0.688698344,135.9316507,1500.382055,10.37727676,12.22691892,53.04754853,99.92878438
ECM007,6.53,0.651,30.08828748,12.52772154,307.3967867,3.679392233,1.397360865,5.859081712,0.102787248,1.003306263,1.066757547,12.40130588,0.144079877,0.08977319,21.16772625,7.1508976,0.542322019,13.18608797,9.02739474,9271.288978,1.830389502,141.0059438,1426.154629,10.95070805,-13.78778412,58.5124255,99.74352185
ECM008,6.21,0.705529381,9.941451345,3.866815361,340.8497605,10.7157766,2.255953298,3.365921087,0.04950616,0.938966289,0.959900505,12.54033037,0.076902968,0.054739155,18.01151137,6.87573567,0.536331987,12.81991387,8.514798649,10668.66219,-0.469258263,126.0748008,1608.028305,-0.563704172,12.60704074,66.94353931,99.85857693
ECM009,6.38,0.68972332,18.58505287,5.788556624,228.5136111,5.072194142,1.401108791,2.214013652,0.055625692,0.99919822,0.525280874,11.01475666,0.129862754,0.040045062,18.78259703,9.337639211,0.808217339,11.5533765,22.6284372,9533.796822,3.266833706,296.1512269,1592.190451,3.05738125,20.17271119,61.80344112,99.54649956
ECM011,6.47,0.679320679,33.58032887,11.32922405,270.9413414,3.369131481,1.341483939,3.69159818,0.092685185,0.972406398,1.005592636,11.71483554,0.179545953,0.110533892,19.67848195,5.930010923,0.48949974,12.11468268,22.24618626,9383.105242,3.44950287,126.2423706,1815.034454,2.412077216,-12.85691971,62.3572464,99.55953663
ECM012,6.82,0.528599606,52.96441651,22.59539935,195.6455901,1.762064801,1.889346768,9.928999976,0.092224813,1.000181979,1.003329329,12.62321111,0.144111245,0.09054276,20.15422559,8.844996844,0.698496816,12.66307194,6.010607047,6912.185359,-2.17944938,121.3613654,1132.775265,2.281529116,8.14640298,44.23597096,99.83014717
