,ECM001,ECM002,ECM003,ECM005,ECM006,ECM007,ECM008,ECM009,ECM011,ECM012,ECM013,ECM015,ECM016,ECM017,ECM018,ECM019,ECM020,ECM021,ECM022,ECM023,ECM024,ECM025,ECM027,ECM028,ECM029,ECM030,ECM032,ECM033,ECM035,ECM036,ECM038,ECM039,ECM040,ECM041,ECM042,ECM043,ECM044,ECM045,ECM046,ECM047,ECM048,ECM049,ECM050,ECM051,ECM052,ECM053,ECM054,ECM055,ECM056,ECM057,ECM058,ECM059,ECM060,ECM061,ECM062,ECM063,ECM065,ECM066,ECM067,ECM068,ECM070,ECM071,ECM072,ECM073,ECM074,ECM075,ECM076,ECM077,ECM078,ECM080,ECM081,ECM082,ECM083,ECM084,ECM085,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus,taxonomy,primary_lifestyle,Lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
ASV_1,224,4465,1012,1217,4353,122,0,37,1160,1046,1849,663,518,0,1899,650,2648,358,2012,768,1288,818,748,1296,369,0,2054,261,784,2099,10229,1583,3383,335,438,0,6333,1039,2614,144,752,0,0,2907,482,707,2081,570,193,556,670,166,1846,446,635,959,372,524,613,156,107,374,609,914,416,357,217,412,345,401,811,774,148,219,2255,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Tausonia,s__pullulans,Tausonia,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__pullulans,soil_saprotroph,Saprotroph,0,0,0,0,soil,0,partly_aquatic,0,0,yeast,none,none,0,0,0,0
ASV_2,0,350,0,3735,0,0,11182,0,0,0,0,0,0,0,0,0,0,135,0,0,419,0,0,11758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2693,0,12680,0,0,0,0,4947,0,0,0,0,0,0,2683,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,17804,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inosperma,s__acutofulvum,Inosperma,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inosperma;s__acutofulvum,ectomycorrhizal,Ectomycorrhizal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_3,1626,985,1143,1997,526,1150,547,0,2625,1518,3123,572,0,571,312,1565,1071,393,2267,727,125,4037,0,529,633,702,1360,594,463,1704,2050,1810,809,1337,1955,970,1327,291,377,840,602,2162,520,919,457,1523,1720,1153,1273,603,696,384,2202,1827,1129,1997,1189,1436,811,580,197,580,691,1412,529,585,904,709,195,30,542,1214,45,966,2601,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Podila,s__humilis,Podila,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__humilis,#N/A,Unassigned,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_4,679,0,0,0,3154,0,0,444,2359,0,3493,2480,0,818,946,0,845,640,1564,1924,1629,716,0,0,371,0,2195,415,803,3261,1989,0,189,1712,803,763,1397,1224,408,99,0,808,625,905,2748,338,0,0,0,0,0,321,192,0,0,1041,0,0,666,0,0,176,0,584,2693,0,0,0,799,0,2548,258,783,1175,1086,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__flanaganii,Preussia,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__flanaganii,dung_saprotroph,Saprotroph,0,0,0,0,dung,0,partly_aquatic,0,0,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,0,0,0,0
ASV_5,0,2061,0,4377,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,370,0,0,0,5217,53,0,0,0,2438,0,769,0,0,3456,0,0,0,0,0,0,0,760,0,0,0,3859,0,3532,0,0,0,2777,0,0,0,312,0,0,163,0,285,0,0,330,7971,3777,55,1276,2673,0,0,1358,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__rimosa,Inocybe,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__rimosa,ectomycorrhizal,Ectomycorrhizal,0,0,0,0,0,0,non-aquatic,0,0,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,0,0
ASV_6,0,0,0,0,0,6081,162,0,0,0,0,0,0,0,0,0,0,0,197,0,1883,0,0,0,0,0,0,0,11548,0,0,8345,0,165,0,1042,0,0,92,0,0,5742,0,0,0,0,0,0,10311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4656,0,0,0,0,643,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inosperma,s__acutofulvum,Inosperma,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inosperma;s__acutofulvum,ectomycorrhizal,Ectomycorrhizal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_7,0,0,0,0,0,0,0,0,0,0,21880,0,0,0,0,616,0,0,0,1620,0,0,0,0,0,365,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13120,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__lyonii,Tuber,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__lyonii,ectomycorrhizal,Ectomycorrhizal,0,0,0,0,0,0,non-aquatic,0,0,filamentous_mycelium,gasteroid-hypogeous,closed,short-distance_delicate,/tuber-helvella,0,0
ASV_8,169,0,189,0,781,979,814,339,379,1331,1987,795,473,0,770,767,494,309,1939,776,903,1614,646,37,211,0,1133,47,349,777,563,1623,271,703,0,1771,0,549,738,81,933,0,866,117,60,372,194,1047,1003,630,414,62,958,583,339,1946,917,475,457,1054,0,0,292,260,320,0,280,272,300,326,1525,1021,0,499,258,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,NA,Linnemannia,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__NA,#N/A,Unassigned,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_9,0,3181,0,0,423,0,0,0,0,0,0,0,0,0,0,7437,231,0,0,0,0,0,0,0,1971,0,0,0,124,0,0,0,613,0,0,326,1617,5182,0,0,0,299,5162,0,0,0,0,0,0,0,2546,7416,1452,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,484,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__NA;g__NA;s__NA,#N/A,Unassigned,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_10,404,471,418,299,1250,0,0,430,894,285,0,0,0,0,331,90,0,94,226,439,107,204,0,0,128,23,671,159,251,173,1028,384,490,488,628,83,0,931,348,202,1167,0,541,0,161,421,346,0,121,118,404,83,0,303,127,629,131,402,130,180,0,213,152,35,698,129,367,94,0,382,1716,244,97,389,405,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,s__exigua,Linnemannia,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__exigua,#N/A,Unassigned,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_11,500,0,1253,0,0,0,0,432,1254,1979,951,977,538,1138,126,1459,23,1012,1588,417,544,938,564,0,0,483,1094,260,194,2032,219,62,972,488,537,556,507,0,0,83,216,546,1538,0,1312,1128,1050,1196,418,826,316,0,491,0,0,232,92,325,0,246,187,0,362,1629,271,0,0,219,1214,0,116,1031,0,764,389,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Apiotrichum,s__scarabaeorum,Apiotrichum,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__scarabaeorum,soil_saprotroph,Saprotroph,0,0,0,0,soil,0,partly_aquatic,0,0,yeast,none,none,0,0,0,0
ASV_12,0,0,0,0,248,0,218,0,0,0,0,563,0,0,0,0,535,0,0,0,0,0,0,0,259,0,0,0,0,163,0,0,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__flanaganii,Preussia,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__flanaganii,dung_saprotroph,Saprotroph,0,0,0,0,dung,0,partly_aquatic,0,0,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,0,0,0,0
